TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.jsoup.helper.DataUtil,BRANCH,0.5,96,48
org.jsoup.helper.Validate,BRANCH,1.0,26,26
org.jsoup.helper.W3CDom,BRANCH,0.9375,32,30
org.jsoup.helper.StringUtil,BRANCH,0.967741935483871,93,89
org.jsoup.helper.HttpConnection,BRANCH,0.524390243902439,328,173
org.jsoup.helper.ChangeNotifyingArrayList,BRANCH,0.0,12,0
org.jsoup.parser.HtmlTreeBuilderState,BRANCH,0.0011376564277588168,879,1
org.jsoup.parser.HtmlTreeBuilder,BRANCH,0.6205533596837944,253,157
org.jsoup.parser.TreeBuilder,BRANCH,0.8461538461538461,13,11
org.jsoup.parser.ParseSettings,BRANCH,1.0,7,6
org.jsoup.parser.Tag,BRANCH,0.8676470588235294,68,59
org.jsoup.parser.XmlTreeBuilder,BRANCH,0.8478260869565217,46,39
org.jsoup.parser.TokeniserState,BRANCH,0.0,830,0
org.jsoup.parser.TokenQueue,BRANCH,0.9858156028368794,141,136
org.jsoup.parser.Token,BRANCH,1.0,89,89
org.jsoup.parser.ParseErrorList,BRANCH,1.0,6,6
org.jsoup.parser.Tokeniser,BRANCH,0.8857142857142857,105,93
org.jsoup.parser.ParseError,BRANCH,1.0,5,5
org.jsoup.parser.Parser,BRANCH,1.0,25,25
org.jsoup.parser.CharacterReader,BRANCH,0.9485981308411215,214,203
org.jsoup.nodes.XmlDeclaration,BRANCH,1.0,15,15
org.jsoup.nodes.Comment,BRANCH,1.0,8,8
org.jsoup.nodes.Document,BRANCH,0.9058823529411765,85,77
org.jsoup.nodes.PseudoTextElement,BRANCH,1.0,3,3
org.jsoup.nodes.FormElement,BRANCH,0.4375,32,14
org.jsoup.nodes.BooleanAttribute,BRANCH,1.0,2,2
org.jsoup.nodes.Node,BRANCH,0.923728813559322,118,109
org.jsoup.nodes.Entities,BRANCH,0.7865168539325843,89,70
org.jsoup.nodes.Attribute,BRANCH,0.9180327868852459,61,56
org.jsoup.nodes.Element,BRANCH,0.8794788273615635,307,269
org.jsoup.nodes.CDataNode,BRANCH,1.0,5,5
org.jsoup.nodes.Attributes,BRANCH,0.8350515463917526,97,81
org.jsoup.nodes.LeafNode,BRANCH,1.0,25,25
org.jsoup.nodes.EntitiesData,BRANCH,1.0,1,1
org.jsoup.nodes.TextNode,BRANCH,0.9333333333333333,45,42
org.jsoup.nodes.DataNode,BRANCH,1.0,9,9
org.jsoup.nodes.DocumentType,BRANCH,1.0,26,26
org.jsoup.UnsupportedMimeTypeException,BRANCH,1.0,4,4
org.jsoup.SerializationException,BRANCH,1.0,4,4
org.jsoup.HttpStatusException,BRANCH,1.0,4,4
org.jsoup.safety.Whitelist,BRANCH,0.8787878787878788,165,145
org.jsoup.safety.Cleaner,BRANCH,0.6666666666666666,33,22
org.jsoup.select.Selector,BRANCH,0.9444444444444444,18,17
org.jsoup.select.NodeTraversor,BRANCH,1.0,48,48
org.jsoup.select.Elements,BRANCH,0.9666666666666667,120,116
org.jsoup.select.StructuralEvaluator,BRANCH,1.0,48,48
org.jsoup.select.Evaluator,BRANCH,0.9593908629441624,197,189
org.jsoup.select.Collector,BRANCH,1.0,14,14
org.jsoup.select.CombiningEvaluator,BRANCH,0.9565217391304348,23,22
org.jsoup.select.QueryParser,BRANCH,0.8823529411764706,153,135
org.jsoup.UncheckedIOException,BRANCH,1.0,2,2
org.jsoup.internal.ConstrainableInputStream,BRANCH,0.8,40,32
org.jsoup.internal.Normalizer,BRANCH,1.0,4,4
org.jsoup.examples.HtmlToPlainText,BRANCH,0.9069767441860465,43,36
org.jsoup.examples.ListLinks,BRANCH,0.2857142857142857,14,4
org.jsoup.examples.Wikipedia,BRANCH,0.75,4,3
org.jsoup.Jsoup,BRANCH,1.0,15,15
